Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C8",0603,4,100 nF,
"C10, C11",1206,2,22 uF,
"C12, C9",0603,2,22 pf,
C2,CAPAE660X800N,1,100 uF Polarized,
C3,0603,1,0.47 uF,
C5,0603,1,10 nF,
C7,1206,1,10 uF,
IC1,SOIC127P600X175-8N,1,AS5600-ASOT,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,INDC2016X100N,1,3.9 uH,
R1,0603,1,10 kOhm,
R2,0603,1,120 Ohm,
"R3, R4",0603,2,10k Ohm,
U1,SOP65P640X120-29N,1,DRV8313PWPR,
U2,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
U3,AP63203WU7,1,AP63203WU-7,
U4,SOIC127P1030X265-18N,1,MCP2515-I_SO,
U5,D8,1,SN65HVD230DR,
Y1,XTAL_NX3225GD-8MHZ-STD-CRA-3_NDK,1,8Mhz resonator,
