Designator,Mid X,Mid Y,Rotation,Layer
C1,86.106,-62.611,180.0,top
C10,98.933,-83.058,0.0,top
C11,98.933,-80.264,0.0,top
C12,125.0,-81.5,0.0,top
C2,101.981,-66.675,0.0,top
C3,93.853,-64.008,0.0,top
C4,93.853,-74.295,0.0,top
C5,86.106,-60.833,0.0,top
C6,93.853,-67.267667,0.0,top
C7,85.852,-76.2,180.0,top
C8,93.472,-83.693,180.0,top
C9,125.0,-74.5,0.0,top
IC1,93.5,-69.006364,90.0,bottom
J1,79.883,-65.405,0.0,top
J3,79.883,-73.914,0.0,top
J4,123.5,-65.77,0.0,top
L1,93.472,-80.518,0.0,top
R1,93.98,-70.485,0.0,top
R2,116.5,-57.0,90.0,top
R3,112.0,-55.5,0.0,top
R4,111.4125,-70.5,0.0,top
U1,86.741,-69.0,0.0,top
U2,97.536,-69.0,0.0,top
U3,87.967,-81.727,270.0,top
U4,116.0,-78.0,90.0,top
U5,114.405,-63.9638,90.0,top
Y1,125.0,-78.0475,270.0,top
